Brand,phone_number,tax_status
Honda        ,88460946850,Paid
Toyota       ,88358561505,Pending
Volkswagen   ,88742408686,Unpaid
Maruti Suzuki,88836475154,Paid
Maruti Suzuki,88716058535,Paid
BMW          ,88191785289,Paid
Toyota       ,88748774268,Paid
BMW          ,88361149485,Pending
Maruti Suzuki,88658993108,Pending
Ford         ,88996843476,Unpaid
Maruti Suzuki,88311572285,Paid
Kia          ,88370830428,Pending
Maruti Suzuki,88630540906,Paid
Toyota       ,88826847530,Unpaid
Mercedes-Benz,88992836788,Pending
Hyundai      ,88464993754,Pending
Kia          ,88853715622,Paid
Maruti Suzuki,88656301407,Pending
Maruti Suzuki,88879325907,Paid
BMW          ,88532188225,Unpaid
Ford         ,88647337876,Pending
Toyota       ,88142555354,Pending
Honda        ,88121102013,Paid
Audi         ,88729264109,Pending
Renault      ,88913617768,Unpaid
MG           ,88279570499,Unpaid
Maruti Suzuki,88585890173,Pending
Maruti Suzuki,88897084263,Paid
Maruti Suzuki,88585301019,Paid
Toyota       ,88871798222,Paid
Toyota       ,88950929543,Pending
Toyota       ,88473665748,Pending
Volvo        ,88527926825,Paid
Hyundai      ,88968516688,Pending
Maruti Suzuki,88830840090,Paid
Hyundai      ,88988251171,Paid
Hyundai      ,88649349805,Pending
Hyundai      ,88929959521,Pending
Mercedes-Benz,88146469214,Paid
Volkswagen   ,88707319414,Paid
Maruti Suzuki,88476117668,Paid
Hyundai      ,88647381342,Pending
Audi         ,88912615820,Paid
Toyota       ,88698090139,Pending
Mercedes-Benz,88775327519,Unpaid
Hyundai      ,88926591172,Pending
Maruti Suzuki,88119425714,Unpaid
Skoda        ,88435269100,Pending
Maruti Suzuki,88654905277,Paid
Tata         ,88629202605,Pending
Toyota       ,88816979922,Paid
Mercedes-Benz,88925197082,Unpaid
Honda        ,88540499295,Paid
Honda        ,88183265465,Paid
Hyundai      ,88692997152,Paid
Renault      ,88177975865,Unpaid
Maruti Suzuki,88108956872,Unpaid
Toyota       ,88668322899,Unpaid
Mahindra     ,88361038743,Pending
Hyundai      ,88422067465,Paid
MG           ,88257710811,Unpaid
Hyundai      ,88152661199,Paid
Mahindra     ,88127237679,Paid
Mercedes-Benz,88217027190,Unpaid
Hyundai      ,88611776750,Unpaid
Mercedes-Benz,88290557886,Unpaid
Kia          ,88365618983,Unpaid
Toyota       ,88405324035,Pending
Maruti Suzuki,88428594795,Unpaid
Hyundai      ,88343127774,Paid
Hyundai      ,88868124731,Unpaid
Maruti Suzuki,88835594166,Unpaid
Hyundai      ,88694630287,Paid
Honda        ,88861910028,Unpaid
Maruti Suzuki,88577757127,Paid
Toyota       ,88969751812,Unpaid
Hyundai      ,88710569213,Unpaid
Hyundai      ,88269109192,Unpaid
Kia          ,88753504520,Pending
Ford         ,88203277064,Paid
Mercedes-Benz,88475031031,Pending
Mahindra     ,88862447500,Pending
Toyota       ,88851082641,Paid
Mini         ,88249579084,Unpaid
Maruti Suzuki,88381103163,Pending
Volkswagen   ,88376853096,Pending
Maruti Suzuki,88569185762,Paid
Tata         ,88278883616,Pending
Maruti Suzuki,88246901641,Pending
Toyota       ,88939677029,Paid
Volkswagen   ,88788837750,Pending
Maruti Suzuki,88726437873,Unpaid
Volkswagen   ,88335125654,Unpaid
Maruti Suzuki,88286638320,Pending
Volkswagen   ,88293307223,Pending
Maruti Suzuki,88228811641,Unpaid
Maruti Suzuki,88947602425,Paid
Renault      ,88736568923,Pending
Toyota       ,88903970192,Unpaid
Land Rover   ,88960569397,Unpaid
Maruti Suzuki,88154843227,Unpaid
Tata         ,88791400541,Pending
Tata         ,88537519897,Unpaid
Mahindra     ,88731709253,Pending
Toyota       ,88854418576,Unpaid
Skoda        ,88830180608,Paid
Maruti Suzuki,88965202840,Pending
Hyundai      ,88593668003,Paid
Mahindra     ,88969337597,Unpaid
Honda        ,88802934606,Unpaid
